Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,Correlation_coefficient,Number_unclassified,Percent_unclassified,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
student_analysis(numbers),2,2,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,147.0,17.0,1.9763597472851482,2.339768548893044,178.07841804715693,182.52688469374635,-0.18582954199895238,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6437.0,23832.0,4462.0,NaN,NaN,?
student_analysis(numbers),2,3,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,147.0,17.0,1.9345302205110722,2.158796631094338,152.00317379396694,147.52496470540453,-0.09111348148477555,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6437.0,23832.0,4462.0,NaN,NaN,?
student_analysis(numbers),2,4,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,147.0,17.0,6.34097951126828,16.38480435998545,129.01439404159981,103.6970595303955,-0.24883162691846689,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6429.0,23832.0,4462.0,NaN,NaN,?
student_analysis(numbers),2,5,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,148.0,16.0,1.7839309023462753,2.2916850280099856,163.37526092853108,178.4917199898355,-0.4220674403787983,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6437.0,23981.0,4313.0,NaN,NaN,?
student_analysis(numbers),2,6,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,148.0,16.0,1.57164591979256,1.8181547362742756,163.49505419594408,166.38271408317166,0.4402185593138862,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6437.0,23981.0,4313.0,NaN,NaN,?
student_analysis(numbers),2,7,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,148.0,16.0,2.274039592649624,2.757088781785776,199.87579526031038,214.09637454388002,-0.3687828842818591,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6437.0,23981.0,4313.0,NaN,NaN,?
student_analysis(numbers),2,8,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,148.0,16.0,2.7940321492215228,3.5426801608766874,158.03077484862922,136.22554582892897,0.12724023500276527,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.015,0.0,0.015600099999999999,0.0,15.6001,6445.0,23981.0,4313.0,NaN,NaN,?
student_analysis(numbers),2,9,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,148.0,16.0,2.8040065098632914,4.41693216133535,236.72085486755785,302.01065889872035,0.5033182148778848,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6437.0,23981.0,4313.0,NaN,NaN,?
student_analysis(numbers),2,10,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,148.0,16.0,5.934506285177031,16.9689582092008,107.48003108320496,100.64709937354284,-0.0470509116552838,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6429.0,23981.0,4313.0,NaN,NaN,?
student_analysis(numbers),3,1,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,147.0,17.0,3.375554054807324,4.781812924838682,160.67031344272172,131.25605742330583,-0.2208333336350386,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6429.0,23832.0,4462.0,NaN,NaN,?
