Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,Correlation_coefficient,Number_unclassified,Percent_unclassified,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
student_analysis(numbers),2,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.02008161137E7,147.0,17.0,1.043529411764706,1.285443388828288,88.92206319318532,90.46042157467593,0.05958962013524372,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.016,0.0,0.015600099999999999,0.0,15.6001,25772.0,23832.0,4462.0,NaN,NaN,?
student_analysis(numbers),2,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.02008161137E7,147.0,17.0,1.166470588235294,1.425550461276997,105.10396062094433,111.20812987837014,-0.12670821534536236,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,25772.0,23832.0,4462.0,NaN,NaN,?
student_analysis(numbers),2,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.02008161137E7,147.0,17.0,1.5139999999999996,2.30075031239811,118.96056349187889,157.22560603609136,-0.003409185674634486,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,25772.0,23832.0,4462.0,NaN,NaN,?
student_analysis(numbers),2,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.02008161137E7,147.0,17.0,5.454588235294118,16.180988815854967,110.97976182896647,102.40714039870699,-0.19624163516131612,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,25772.0,23832.0,4462.0,NaN,NaN,?
student_analysis(numbers),2,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.02008161137E7,148.0,16.0,0.790625,1.0572340091011072,72.40670897159403,82.3444384414697,0.28799707838201927,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,25921.0,23981.0,4313.0,NaN,NaN,?
student_analysis(numbers),2,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.02008161137E7,148.0,16.0,1.0812499999999996,1.3233244122285357,112.48018725025376,121.09987281406333,-0.057831706503952314,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.016,0.0,0.015600099999999999,0.0,15.6001,0.0,25921.0,23981.0,4313.0,NaN,NaN,?
student_analysis(numbers),2,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.02008161137E7,148.0,16.0,5.000625,16.77770563128344,439.5279228665521,1302.840145211299,0.14575790822059104,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,25921.0,23981.0,4313.0,NaN,NaN,?
student_analysis(numbers),2,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.02008161137E7,148.0,16.0,1.5524999999999998,2.290406623287664,87.80957585647486,88.07227247698937,0.09371003638936598,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.015,0.0,0.015600099999999999,0.0,15.6001,0.0,25921.0,23981.0,4313.0,NaN,NaN,?
student_analysis(numbers),2,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.02008161137E7,148.0,16.0,1.00625,1.3036726966535734,84.95000256689616,89.13948318046727,0.24687879052045938,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,25921.0,23981.0,4313.0,NaN,NaN,?
student_analysis(numbers),2,10,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.02008161137E7,148.0,16.0,5.509062499999998,16.900786825248698,99.77480522992745,100.24275798908832,0.08800503048296997,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,25929.0,23981.0,4313.0,NaN,NaN,?
